(13320,1143)
(2609,1263)
(12639,1504)
(2116,1617)
(4727,1702)
(17218,1711)
(898,2179)
(16280,2787)
(15911,3136)
(7625,3346)
(13275,3400)
(11478,3540)
(9847,4120)
(6617,4398)
(2230,4869)
(9636,4893)
(16837,4957)
(17160,5034)
(5793,5154)
(13175,5165)
(11092,5396)
(17271,5573)
(14667,5735)
(5032,5917)
(10452,6190)
(8729,6399)
(10213,6804)
(776,7160)
(12556,7259)
(4480,7284)
(8016,7410)
(12261,7599)
(12860,8121)
(11685,8547)
(9696,8696)
(5274,10088)
(2987,10262)
(6872,10329)
(4582,10363)
(3128,10415)
(16627,10481)
(12228,10937)
(2579,11110)
(8468,11135)
(1862,11858)
(1208,12463)
(5959,12632)
(14556,12634)
(1129,12664)
(7898,12946)
(9357,12976)
(5998,13040)
(1519,13068)
(16398,13132)
(11425,13339)
(9977,13491)
(1196,13593)
(14281,14143)
(85,14439)
(1931,14493)
(17879,15010)
(18403,15082)
(4551,15284)
(10930,15487)
(14841,15542)
(19847,15677)
(2203,15946)
(7168,16258)
(9092,16327)
(16119,16404)
(16472,17173)
(18326,17552)
(4790,17662)
(2975,18014)
(8677,18419)
(3100,18651)
(4068,18832)
(5659,18998)
(1775,19028)
(12769,19115)
(481,19338)
(4834,19576)
(14409,19889)
(2443,20214)
(15382,20216)
(15877,20290)
(449,20437)
(15449,20958)
(13678,21132)
(12956,21874)
(5286,22055)
(4500,22469)
(3288,22707)
(11867,22770)
(10914,23126)
(5034,23341)
(14426,23415)
(6988,23694)
(3905,23949)
(8627,23967)
(3699,24126)
(4580,24736)
(16857,24910)
(18944,25093)
(10766,25389)
(19852,26003)
(11278,26108)
(13118,27613)
(1687,27732)
(10121,27775)
(7264,27850)
(4046,28267)
(16540,28380)
(12140,28501)
(10753,28642)
(11056,28746)
(6861,29027)
(15354,29368)
(11860,29400)
(16302,29774)
(7756,30580)
(17660,30793)
(452,30820)
(10083,31020)
(365,31307)
(8175,31895)
(5864,32064)
(2314,32799)
(3555,32933)
(10383,32986)
(17914,33157)
(14332,33335)
(6421,33428)
(12269,33658)
(5844,33698)
(15538,33820)
(10733,33992)
(15202,34432)
(2041,34470)
(8454,34854)
(9760,34899)
(11436,35264)
(15005,35345)
(3999,36611)
(18022,36633)
(16858,36828)
(5591,36951)
(12188,37020)
(7416,37236)
(7328,37358)
(11642,37366)
(18626,37388)
(6413,37533)
(7738,37808)
(758,37959)
(3243,38409)
(1268,38475)
(5227,38542)
(13959,38841)
(9579,39243)
(2932,39702)
(11137,39836)
(7517,39886)
(2689,39907)
(14187,39949)
(16872,40037)
(18717,40043)
(5243,40217)
(19255,40440)
(11534,40641)
(13204,40745)
(4125,40922)
(16599,40928)
(8248,41481)
(8116,41762)
(10050,41816)
(18272,41878)
(16644,41957)
(5503,42601)
(10812,43097)
(19854,43178)
(18933,43226)
(10744,43263)
(6568,43307)
(5105,43310)
(12635,43331)
(8325,43459)
(19769,43485)
(1598,43601)
(8796,43623)
(10131,43762)
(11019,44629)
(3579,44766)
(14785,44945)
(5157,45319)
(5783,45467)
(8808,45520)
(9044,45780)
(11658,45847)
(4915,45913)
(10663,45968)
(9651,46093)
(5914,46694)
(17626,46928)
(2455,46993)
(11290,47363)
(14283,47364)
(2145,47367)
(16482,47968)
(2732,47969)
(14513,48124)
(1543,48180)
(3379,48436)
(11108,48643)
(11038,48745)
(7587,48770)
(11901,49034)
(8332,49237)
(12758,49303)
(5847,49390)
(10660,49903)
(9363,49913)
(8589,50153)
(879,50567)
(1086,50631)
(1665,50738)
(2912,50946)
(2999,50951)
(3309,51003)
(5777,51446)
(5991,51480)
(6345,51564)
(6750,51634)
(6930,51661)
(7152,51731)
(7213,51748)
